"game_id","home_team","away_team","abs_spread","div_game","reg_playoff","penalty_count"
"2019_01_PIT_NE","NE","PIT",5.5,0,"REG",13
"2019_01_SF_TB","TB","SF",1,0,"REG",19
"2019_01_TEN_CLE","CLE","TEN",5.5,0,"REG",24
"2019_01_WAS_PHI","PHI","WAS",10.5,1,"REG",18
"2019_02_ARI_BAL","BAL","ARI",13,0,"REG",18
"2019_02_BUF_NYG","NYG","BUF",1,0,"REG",16
"2019_02_CHI_DEN","DEN","CHI",3,0,"REG",17
"2019_02_CLE_NYJ","NYJ","CLE",6.5,0,"REG",21
"2019_02_DAL_WAS","WAS","DAL",6,1,"REG",14
"2019_02_IND_TEN","TEN","IND",3,1,"REG",13
"2019_02_JAX_HOU","HOU","JAX",7.5,1,"REG",16
"2019_02_KC_OAK","LV","KC",7,1,"REG",17
"2019_02_LAC_DET","DET","LAC",1,0,"REG",17
"2019_02_MIN_GB","GB","MIN",3,1,"REG",14
"2019_02_NE_MIA","MIA","NE",18,1,"REG",9
"2019_02_NO_LA","LA","NO",2,0,"REG",19
"2019_02_PHI_ATL","ATL","PHI",1,0,"REG",17
"2019_02_SEA_PIT","PIT","SEA",4,0,"REG",15
"2019_02_SF_CIN","CIN","SF",1,0,"REG",16
"2019_02_TB_CAR","CAR","TB",6.5,1,"REG",17
"2019_03_ATL_IND","IND","ATL",1,0,"REG",20
"2019_03_BAL_KC","KC","BAL",4.5,0,"REG",11
"2019_03_CAR_ARI","ARI","CAR",2.5,0,"REG",10
"2019_03_CHI_WAS","WAS","CHI",5,0,"REG",18
"2019_03_CIN_BUF","BUF","CIN",5.5,0,"REG",15
"2019_03_DEN_GB","GB","DEN",7,0,"REG",10
"2019_03_DET_PHI","PHI","DET",4,0,"REG",13
"2019_03_HOU_LAC","LAC","HOU",3,0,"REG",13
"2019_03_LA_CLE","CLE","LA",4,0,"REG",15
"2019_03_MIA_DAL","DAL","MIA",22,0,"REG",13
"2019_03_NO_SEA","SEA","NO",5,0,"REG",18
"2019_03_NYG_TB","TB","NYG",5,0,"REG",10
"2019_03_NYJ_NE","NE","NYJ",20.5,1,"REG",13
"2019_03_OAK_MIN","MIN","LV",8.5,0,"REG",13
"2019_03_PIT_SF","SF","PIT",6,0,"REG",11
