year,site,siteid,species,treeid,trw,bai,radius,age,awc100,pH,BS,C.N,tmean,prec,dri,co2
1994,Barschwil,BAR,oak,BARquer10,0.93,4.69,8.1,123,30,7.2,99.9,16.7,14.4,739,42,358.9
1995,Barschwil,BAR,oak,BARquer10,0.68,3.44,8.1,124,30,7.2,99.9,16.7,13.6,745,43,360.9
1996,Barschwil,BAR,oak,BARquer10,0.47,2.39,8.2,125,30,7.2,99.9,16.7,13,592,18,362.7
1997,Barschwil,BAR,oak,BARquer10,0.4,2.06,8.2,126,30,7.2,99.9,16.7,13.8,627,21,363.8
1998,Barschwil,BAR,oak,BARquer10,0.46,2.36,8.3,127,30,7.2,99.9,16.7,14,679,30,365.5
1999,Barschwil,BAR,oak,BARquer10,0.59,3.08,8.3,128,30,7.2,99.9,16.7,14.5,867,62,367
2000,Barschwil,BAR,oak,BARquer10,0.4,2.07,8.4,129,30,7.2,99.9,16.7,14.6,562,8,368.5
2001,Barschwil,BAR,oak,BARquer10,0.66,3.46,8.4,130,30,7.2,99.9,16.7,13.6,755,46,370
2002,Barschwil,BAR,oak,BARquer10,0.37,1.94,8.5,131,30,7.2,99.9,16.7,13.8,836,58,371.5
2003,Barschwil,BAR,oak,BARquer10,0.31,1.65,8.5,132,30,7.2,99.9,16.7,16.4,435,-19,373
2004,Barschwil,BAR,oak,BARquer10,0.28,1.47,8.5,133,30,7.2,99.9,16.7,14,532,5,374.6
2005,Barschwil,BAR,oak,BARquer10,0.29,1.53,8.6,134,30,7.2,99.9,16.7,14.3,652,25,377.1
2006,Barschwil,BAR,oak,BARquer10,0.63,3.4,8.6,135,30,7.2,99.9,16.7,14.8,945,74,378.8
1957,Basadingen,BAS,spruce,BASpcab1,1.8,8.73,7.8,49,154.1,4.4,94.9,12.4,13.8,494,-3,315.1
1958,Basadingen,BAS,spruce,BASpcab1,1.35,6.66,7.9,50,154.1,4.4,94.9,12.4,14.7,538,0,315.7
1959,Basadingen,BAS,spruce,BASpcab1,1.71,8.63,8.1,51,154.1,4.4,94.9,12.4,15.3,455,-20,315.8
1960,Basadingen,BAS,spruce,BASpcab1,2.03,10.48,8.3,52,154.1,4.4,94.9,12.4,14.1,558,5,316.8
1961,Basadingen,BAS,spruce,BASpcab1,2.22,11.73,8.5,53,154.1,4.4,94.9,12.4,15.1,493,-10,317.5
1962,Basadingen,BAS,spruce,BASpcab1,2.17,11.77,8.8,54,154.1,4.4,94.9,12.4,14.1,413,-22,318.3
1963,Basadingen,BAS,spruce,BASpcab1,2.24,12.46,9,55,154.1,4.4,94.9,12.4,14.6,484,-10,318.8
1964,Basadingen,BAS,spruce,BASpcab1,2.47,14.13,9.2,56,154.1,4.4,94.9,12.4,15.5,472,-17,319.4
1965,Basadingen,BAS,spruce,BASpcab1,3.74,22.1,9.6,57,154.1,4.4,94.9,12.4,13.4,816,52,319.9
1966,Basadingen,BAS,spruce,BASpcab1,4.39,27.06,10,58,154.1,4.4,94.9,12.4,14.6,546,1,321.2
1967,Basadingen,BAS,spruce,BASpcab1,4.59,29.59,10.5,59,154.1,4.4,94.9,12.4,14.4,537,0,322
1968,Basadingen,BAS,spruce,BASpcab1,4.59,30.94,11,60,154.1,4.4,94.9,12.4,14,618,15,322.9
1969,Basadingen,BAS,spruce,BASpcab1,4.2,29.44,11.4,61,154.1,4.4,94.9,12.4,14.3,550,2,324.5
1970,Basadingen,BAS,spruce,BASpcab1,3.26,23.64,11.7,62,154.1,4.4,94.9,12.4,14.2,512,-4,325.5
1971,Basadingen,BAS,spruce,BASpcab1,3.47,25.9,12.1,63,154.1,4.4,94.9,12.4,15.1,425,-24,326.2
1972,Basadingen,BAS,spruce,BASpcab1,3.37,25.83,12.4,64,154.1,4.4,94.9,12.4,13.3,537,4,327.3
1973,Basadingen,BAS,spruce,BASpcab1,3.87,30.59,12.8,65,154.1,4.4,94.9,12.4,14.6,461,-13,329.5
1974,Basadingen,BAS,spruce,BASpcab1,4.09,33.31,13.2,66,154.1,4.4,94.9,12.4,14.1,485,-8,330.1
1975,Basadingen,BAS,spruce,BASpcab1,3.4,28.48,13.5,67,154.1,4.4,94.9,12.4,14.7,641,17,331
1976,Basadingen,BAS,spruce,BASpcab1,2.1,17.98,13.7,68,154.1,4.4,94.9,12.4,14.7,448,-19,332
1977,Basadingen,BAS,spruce,BASpcab1,3.89,33.99,14.1,69,154.1,4.4,94.9,12.4,13.5,524,1,333.7
1978,Basadingen,BAS,spruce,BASpcab1,4.09,36.77,14.5,70,154.1,4.4,94.9,12.4,13.3,528,1,335.3
1979,Basadingen,BAS,spruce,BASpcab1,3.19,29.39,14.8,71,154.1,4.4,94.9,12.4,13.9,482,-8,336.7
1980,Basadingen,BAS,spruce,BASpcab1,4.37,41.32,15.3,72,154.1,4.4,94.9,12.4,13.4,501,-1,338.5
1981,Basadingen,BAS,spruce,BASpcab1,3.91,37.98,15.7,73,154.1,4.4,94.9,12.4,14.5,475,-11,339.8
1982,Basadingen,BAS,spruce,BASpcab1,5.56,55.68,16.2,74,154.1,4.4,94.9,12.4,14.8,514,-5,341
1983,Basadingen,BAS,spruce,BASpcab1,7.54,78.62,17,75,154.1,4.4,94.9,12.4,15.3,543,-3,342.6
1984,Basadingen,BAS,spruce,BASpcab1,5.57,60.36,17.5,76,154.1,4.4,94.9,12.4,13.3,489,-4,344.3
1985,Basadingen,BAS,spruce,BASpcab1,4.58,51.13,18,77,154.1,4.4,94.9,12.4,14.5,496,-9,345.7
1986,Basadingen,BAS,spruce,BASpcab1,6.03,69.27,18.6,78,154.1,4.4,94.9,12.4,14.3,637,17,347
1987,Basadingen,BAS,spruce,BASpcab1,7.24,86.2,19.3,79,154.1,4.4,94.9,12.4,14.4,593,11,348.8
1988,Basadingen,BAS,spruce,BASpcab1,8.35,103.57,20.2,80,154.1,4.4,94.9,12.4,14.9,489,-11,351.3
1989,Basadingen,BAS,spruce,BASpcab1,7.85,101.37,20.9,81,154.1,4.4,94.9,12.4,14.8,446,-18,352.8
1990,Basadingen,BAS,spruce,BASpcab1,6.12,81.65,21.6,82,154.1,4.4,94.9,12.4,14.7,485,-11,354
1991,Basadingen,BAS,spruce,BASpcab1,5.71,78.36,22.1,83,154.1,4.4,94.9,12.4,14.7,470,-12,355.5
1992,Basadingen,BAS,spruce,BASpcab1,4.85,68.1,22.6,84,154.1,4.4,94.9,12.4,15.7,468,-16,356.3
1993,Basadingen,BAS,spruce,BASpcab1,7.01,101.06,23.3,85,154.1,4.4,94.9,12.4,15.1,559,0,357
1994,Basadingen,BAS,spruce,BASpcab1,6.41,95.18,24,86,154.1,4.4,94.9,12.4,15.5,653,18,358.9
1995,Basadingen,BAS,spruce,BASpcab1,6.92,105.57,24.6,87,154.1,4.4,94.9,12.4,14.6,628,16,360.9
1996,Basadingen,BAS,spruce,BASpcab1,6.31,98.96,25.3,88,154.1,4.4,94.9,12.4,14.1,493,-7,362.7
1997,Basadingen,BAS,spruce,BASpcab1,8.04,129.63,26.1,89,154.1,4.4,94.9,12.4,14.7,460,-14,363.8
1998,Basadingen,BAS,spruce,BASpcab1,4.97,82.13,26.6,90,154.1,4.4,94.9,12.4,15.3,412,-24,365.5
1999,Basadingen,BAS,spruce,BASpcab1,4.6,77.39,27,91,154.1,4.4,94.9,12.4,15.5,741,33,367
2000,Basadingen,BAS,spruce,BASpcab1,5.4,92.56,27.6,92,154.1,4.4,94.9,12.4,15.7,593,4,368.5
2001,Basadingen,BAS,spruce,BASpcab1,3.82,66.55,28,93,154.1,4.4,94.9,12.4,14.7,612,13,370
2002,Basadingen,BAS,spruce,BASpcab1,4.38,77.45,28.4,94,154.1,4.4,94.9,12.4,15,522,-6,371.5
2003,Basadingen,BAS,spruce,BASpcab1,1.9,33.92,28.6,95,154.1,4.4,94.9,12.4,17.3,362,-39,373
2004,Basadingen,BAS,spruce,BASpcab1,1.83,32.97,28.8,96,154.1,4.4,94.9,12.4,15.1,435,-19,374.6
2005,Basadingen,BAS,spruce,BASpcab1,2.03,36.82,29,97,154.1,4.4,94.9,12.4,15.4,523,-4,377.1
2006,Basadingen,BAS,spruce,BASpcab1,1.46,26.64,29.1,98,154.1,4.4,94.9,12.4,15.9,603,7,378.8
1957,Basadingen,BAS,spruce,BASpcab1,NA,NA,0,1,154.1,4.4,94.9,12.4,13.8,494,-3,315.1
1958,Basadingen,BAS,spruce,BASpcab1,NA,NA,0,2,154.1,4.4,94.9,12.4,14.7,538,0,315.7
1959,Basadingen,BAS,spruce,BASpcab1,NA,NA,0,3,154.1,4.4,94.9,12.4,15.3,455,-20,315.8
1960,Basadingen,BAS,spruce,BASpcab1,NA,NA,0,4,154.1,4.4,94.9,12.4,14.1,558,5,316.8
1961,Basadingen,BAS,spruce,BASpcab1,6.29,NA,0.6,5,154.1,4.4,94.9,12.4,15.1,493,-10,317.5
1962,Basadingen,BAS,spruce,BASpcab1,8.07,5.24,1.4,6,154.1,4.4,94.9,12.4,14.1,413,-22,318.3
1963,Basadingen,BAS,spruce,BASpcab1,4.66,4.89,1.9,7,154.1,4.4,94.9,12.4,14.6,484,-10,318.8
1964,Basadingen,BAS,spruce,BASpcab1,5.75,7.91,2.5,8,154.1,4.4,94.9,12.4,15.5,472,-17,319.4
1965,Basadingen,BAS,spruce,BASpcab1,4.36,7.38,2.9,9,154.1,4.4,94.9,12.4,13.4,816,52,319.9
1966,Basadingen,BAS,spruce,BASpcab1,4.24,8.33,3.3,10,154.1,4.4,94.9,12.4,14.6,546,1,321.2
1967,Basadingen,BAS,spruce,BASpcab1,4.84,10.88,3.8,11,154.1,4.4,94.9,12.4,14.4,537,0,322
1968,Basadingen,BAS,spruce,BASpcab1,9.85,26.7,4.8,12,154.1,4.4,94.9,12.4,14,618,15,322.9
1969,Basadingen,BAS,spruce,BASpcab1,8.27,27.12,5.6,13,154.1,4.4,94.9,12.4,14.3,550,2,324.5
1970,Basadingen,BAS,spruce,BASpcab1,8.74,33.33,6.5,14,154.1,4.4,94.9,12.4,14.2,512,-4,325.5
1971,Basadingen,BAS,spruce,BASpcab1,12.71,57.04,7.8,15,154.1,4.4,94.9,12.4,15.1,425,-24,326.2
1972,Basadingen,BAS,spruce,BASpcab1,10.82,56.56,8.9,16,154.1,4.4,94.9,12.4,13.3,537,4,327.3
1973,Basadingen,BAS,spruce,BASpcab1,7.66,44.49,9.6,17,154.1,4.4,94.9,12.4,14.6,461,-13,329.5
1974,Basadingen,BAS,spruce,BASpcab1,6,37.42,10.2,18,154.1,4.4,94.9,12.4,14.1,485,-8,330.1
1975,Basadingen,BAS,spruce,BASpcab1,2.83,18.43,10.5,19,154.1,4.4,94.9,12.4,14.7,641,17,331
1976,Basadingen,BAS,spruce,BASpcab1,2,13.33,10.7,20,154.1,4.4,94.9,12.4,14.7,448,-19,332
1977,Basadingen,BAS,spruce,BASpcab1,4.94,34.01,11.2,21,154.1,4.4,94.9,12.4,13.5,524,1,333.7
1978,Basadingen,BAS,spruce,BASpcab1,4.83,34.69,11.7,22,154.1,4.4,94.9,12.4,13.3,528,1,335.3
1979,Basadingen,BAS,spruce,BASpcab1,3.56,26.54,12,23,154.1,4.4,94.9,12.4,13.9,482,-8,336.7
1980,Basadingen,BAS,spruce,BASpcab1,3.3,25.31,12.4,24,154.1,4.4,94.9,12.4,13.4,501,-1,338.5
1981,Basadingen,BAS,spruce,BASpcab1,2.62,20.54,12.6,25,154.1,4.4,94.9,12.4,14.5,475,-11,339.8
1982,Basadingen,BAS,spruce,BASpcab1,3.41,27.43,13,26,154.1,4.4,94.9,12.4,14.8,514,-5,341
1983,Basadingen,BAS,spruce,BASpcab1,5.65,47.02,13.5,27,154.1,4.4,94.9,12.4,15.3,543,-3,342.6
1984,Basadingen,BAS,spruce,BASpcab1,3.79,32.69,13.9,28,154.1,4.4,94.9,12.4,13.3,489,-4,344.3
1985,Basadingen,BAS,spruce,BASpcab1,5.83,52,14.5,29,154.1,4.4,94.9,12.4,14.5,496,-9,345.7
1986,Basadingen,BAS,spruce,BASpcab1,5.43,50.4,15,30,154.1,4.4,94.9,12.4,14.3,637,17,347
1987,Basadingen,BAS,spruce,BASpcab1,5.3,50.98,15.6,31,154.1,4.4,94.9,12.4,14.4,593,11,348.8
1988,Basadingen,BAS,spruce,BASpcab1,4.07,40.34,16,32,154.1,4.4,94.9,12.4,14.9,489,-11,351.3
1989,Basadingen,BAS,spruce,BASpcab1,4.61,46.9,16.4,33,154.1,4.4,94.9,12.4,14.8,446,-18,352.8
1990,Basadingen,BAS,spruce,BASpcab1,2.18,22.67,16.7,34,154.1,4.4,94.9,12.4,14.7,485,-11,354
1991,Basadingen,BAS,spruce,BASpcab1,4.05,42.91,17.1,35,154.1,4.4,94.9,12.4,14.7,470,-12,355.5
1992,Basadingen,BAS,spruce,BASpcab1,2.98,32.23,17.4,36,154.1,4.4,94.9,12.4,15.7,468,-16,356.3
1993,Basadingen,BAS,spruce,BASpcab1,3.83,42.18,17.7,37,154.1,4.4,94.9,12.4,15.1,559,0,357
1994,Basadingen,BAS,spruce,BASpcab1,4.87,55.04,18.2,38,154.1,4.4,94.9,12.4,15.5,653,18,358.9
1995,Basadingen,BAS,spruce,BASpcab1,4.55,52.77,18.7,39,154.1,4.4,94.9,12.4,14.6,628,16,360.9
1996,Basadingen,BAS,spruce,BASpcab1,4.06,48.19,19.1,40,154.1,4.4,94.9,12.4,14.1,493,-7,362.7
1997,Basadingen,BAS,spruce,BASpcab1,5.28,64.21,19.6,41,154.1,4.4,94.9,12.4,14.7,460,-14,363.8
1998,Basadingen,BAS,spruce,BASpcab1,2.27,28.15,19.8,42,154.1,4.4,94.9,12.4,15.3,412,-24,365.5
1999,Basadingen,BAS,spruce,BASpcab1,4.18,52.67,20.3,43,154.1,4.4,94.9,12.4,15.5,741,33,367
2000,Basadingen,BAS,spruce,BASpcab1,3.17,40.61,20.6,44,154.1,4.4,94.9,12.4,15.7,593,4,368.5
2001,Basadingen,BAS,spruce,BASpcab1,2.41,31.28,20.8,45,154.1,4.4,94.9,12.4,14.7,612,13,370
2002,Basadingen,BAS,spruce,BASpcab1,5.31,70.36,21.4,46,154.1,4.4,94.9,12.4,15,522,-6,371.5
2003,Basadingen,BAS,spruce,BASpcab1,2.13,28.65,21.6,47,154.1,4.4,94.9,12.4,17.3,362,-39,373
2004,Basadingen,BAS,spruce,BASpcab1,3.26,44.51,21.9,48,154.1,4.4,94.9,12.4,15.1,435,-19,374.6
2005,Basadingen,BAS,spruce,BASpcab1,4.97,69.07,22.4,49,154.1,4.4,94.9,12.4,15.4,523,-4,377.1
2006,Basadingen,BAS,spruce,BASpcab1,3.37,47.76,22.7,50,154.1,4.4,94.9,12.4,15.9,603,7,378.8
1957,Basadingen,BAS,spruce,BASpcab1,3.95,49.45,20.1,30,154.1,4.4,94.9,12.4,13.8,494,-3,315.1
1958,Basadingen,BAS,spruce,BASpcab1,1.88,23.88,20.3,31,154.1,4.4,94.9,12.4,14.7,538,0,315.7
1959,Basadingen,BAS,spruce,BASpcab1,2.66,34.17,20.6,32,154.1,4.4,94.9,12.4,15.3,455,-20,315.8
1960,Basadingen,BAS,spruce,BASpcab1,2.13,27.68,20.8,33,154.1,4.4,94.9,12.4,14.1,558,5,316.8
1961,Basadingen,BAS,spruce,BASpcab1,3.43,45.17,21.1,34,154.1,4.4,94.9,12.4,15.1,493,-10,317.5
1962,Basadingen,BAS,spruce,BASpcab1,3.02,40.38,21.4,35,154.1,4.4,94.9,12.4,14.1,413,-22,318.3
1963,Basadingen,BAS,spruce,BASpcab1,3.6,48.89,21.8,36,154.1,4.4,94.9,12.4,14.6,484,-10,318.8
1964,Basadingen,BAS,spruce,BASpcab1,2.28,31.31,22,37,154.1,4.4,94.9,12.4,15.5,472,-17,319.4
1965,Basadingen,BAS,spruce,BASpcab1,2.95,41.02,22.3,38,154.1,4.4,94.9,12.4,13.4,816,52,319.9
1966,Basadingen,BAS,spruce,BASpcab1,3.67,51.81,22.7,39,154.1,4.4,94.9,12.4,14.6,546,1,321.2
1967,Basadingen,BAS,spruce,BASpcab1,3.89,55.91,23.1,40,154.1,4.4,94.9,12.4,14.4,537,0,322
1968,Basadingen,BAS,spruce,BASpcab1,3.4,49.65,23.4,41,154.1,4.4,94.9,12.4,14,618,15,322.9
1969,Basadingen,BAS,spruce,BASpcab1,3.79,56.2,23.8,42,154.1,4.4,94.9,12.4,14.3,550,2,324.5
1970,Basadingen,BAS,spruce,BASpcab1,2.97,44.6,24.1,43,154.1,4.4,94.9,12.4,14.2,512,-4,325.5
1971,Basadingen,BAS,spruce,BASpcab1,2.94,44.76,24.4,44,154.1,4.4,94.9,12.4,15.1,425,-24,326.2
1972,Basadingen,BAS,spruce,BASpcab1,2.64,40.58,24.6,45,154.1,4.4,94.9,12.4,13.3,537,4,327.3
1973,Basadingen,BAS,spruce,BASpcab1,3.12,48.62,25,46,154.1,4.4,94.9,12.4,14.6,461,-13,329.5
1974,Basadingen,BAS,spruce,BASpcab1,3.08,48.59,25.3,47,154.1,4.4,94.9,12.4,14.1,485,-8,330.1
1975,Basadingen,BAS,spruce,BASpcab1,3.54,56.51,25.6,48,154.1,4.4,94.9,12.4,14.7,641,17,331
1976,Basadingen,BAS,spruce,BASpcab1,2.87,46.37,25.9,49,154.1,4.4,94.9,12.4,14.7,448,-19,332
1977,Basadingen,BAS,spruce,BASpcab1,2.7,44.09,26.2,50,154.1,4.4,94.9,12.4,13.5,524,1,333.7
1978,Basadingen,BAS,spruce,BASpcab1,3.34,55.19,26.5,51,154.1,4.4,94.9,12.4,13.3,528,1,335.3
1979,Basadingen,BAS,spruce,BASpcab1,3.13,52.35,26.8,52,154.1,4.4,94.9,12.4,13.9,482,-8,336.7
1980,Basadingen,BAS,spruce,BASpcab1,2.7,45.73,27.1,53,154.1,4.4,94.9,12.4,13.4,501,-1,338.5
1981,Basadingen,BAS,spruce,BASpcab1,3.68,63.06,27.5,54,154.1,4.4,94.9,12.4,14.5,475,-11,339.8
1982,Basadingen,BAS,spruce,BASpcab1,3.13,54.22,27.8,55,154.1,4.4,94.9,12.4,14.8,514,-5,341
1983,Basadingen,BAS,spruce,BASpcab1,3.82,67.02,28.2,56,154.1,4.4,94.9,12.4,15.3,543,-3,342.6
1984,Basadingen,BAS,spruce,BASpcab1,2.87,50.93,28.4,57,154.1,4.4,94.9,12.4,13.3,489,-4,344.3
1985,Basadingen,BAS,spruce,BASpcab1,3.06,54.97,28.7,58,154.1,4.4,94.9,12.4,14.5,496,-9,345.7
1986,Basadingen,BAS,spruce,BASpcab1,3.44,62.41,29.1,59,154.1,4.4,94.9,12.4,14.3,637,17,347
1987,Basadingen,BAS,spruce,BASpcab1,3.26,59.91,29.4,60,154.1,4.4,94.9,12.4,14.4,593,11,348.8
1988,Basadingen,BAS,spruce,BASpcab1,3.29,61.14,29.7,61,154.1,4.4,94.9,12.4,14.9,489,-11,351.3
1989,Basadingen,BAS,spruce,BASpcab1,4.2,79.04,30.2,62,154.1,4.4,94.9,12.4,14.8,446,-18,352.8
1990,Basadingen,BAS,spruce,BASpcab1,2.29,43.56,30.4,63,154.1,4.4,94.9,12.4,14.7,485,-11,354
1991,Basadingen,BAS,spruce,BASpcab1,2.83,54.19,30.7,64,154.1,4.4,94.9,12.4,14.7,470,-12,355.5
1992,Basadingen,BAS,spruce,BASpcab1,2.46,47.6,30.9,65,154.1,4.4,94.9,12.4,15.7,468,-16,356.3
1993,Basadingen,BAS,spruce,BASpcab1,2.17,42.31,31.1,66,154.1,4.4,94.9,12.4,15.1,559,0,357
1994,Basadingen,BAS,spruce,BASpcab1,3,58.97,31.4,67,154.1,4.4,94.9,12.4,15.5,653,18,358.9
1995,Basadingen,BAS,spruce,BASpcab1,2.32,45.99,31.7,68,154.1,4.4,94.9,12.4,14.6,628,16,360.9
1996,Basadingen,BAS,spruce,BASpcab1,2.07,41.32,31.9,69,154.1,4.4,94.9,12.4,14.1,493,-7,362.7
1997,Basadingen,BAS,spruce,BASpcab1,1.93,38.67,32.1,70,154.1,4.4,94.9,12.4,14.7,460,-14,363.8
1998,Basadingen,BAS,spruce,BASpcab1,1.46,29.48,32.2,71,154.1,4.4,94.9,12.4,15.3,412,-24,365.5
1999,Basadingen,BAS,spruce,BASpcab1,1.47,29.82,32.4,72,154.1,4.4,94.9,12.4,15.5,741,33,367
2000,Basadingen,BAS,spruce,BASpcab1,1.46,29.75,32.5,73,154.1,4.4,94.9,12.4,15.7,593,4,368.5
2001,Basadingen,BAS,spruce,BASpcab1,1.64,33.48,32.7,74,154.1,4.4,94.9,12.4,14.7,612,13,370
2002,Basadingen,BAS,spruce,BASpcab1,2.21,45.42,32.9,75,154.1,4.4,94.9,12.4,15,522,-6,371.5
2003,Basadingen,BAS,spruce,BASpcab1,1.92,39.79,33.1,76,154.1,4.4,94.9,12.4,17.3,362,-39,373
2004,Basadingen,BAS,spruce,BASpcab1,1.83,38.14,33.3,77,154.1,4.4,94.9,12.4,15.1,435,-19,374.6
2005,Basadingen,BAS,spruce,BASpcab1,2.36,49.5,33.5,78,154.1,4.4,94.9,12.4,15.4,523,-4,377.1
2006,Basadingen,BAS,spruce,BASpcab1,1.36,28.58,33.6,79,154.1,4.4,94.9,12.4,15.9,603,7,378.8
1957,Basadingen,BAS,spruce,BASpcab1,2.65,52.08,31.4,91,154.1,4.4,94.9,12.4,13.8,494,-3,315.1
1958,Basadingen,BAS,spruce,BASpcab1,1.51,29.77,31.6,92,154.1,4.4,94.9,12.4,14.7,538,0,315.7
1959,Basadingen,BAS,spruce,BASpcab1,2.17,43.18,31.8,93,154.1,4.4,94.9,12.4,15.3,455,-20,315.8
1960,Basadingen,BAS,spruce,BASpcab1,2.12,42.37,32,94,154.1,4.4,94.9,12.4,14.1,558,5,316.8
1961,Basadingen,BAS,spruce,BASpcab1,3.03,61.08,32.3,95,154.1,4.4,94.9,12.4,15.1,493,-10,317.5
1962,Basadingen,BAS,spruce,BASpcab1,1.98,40.29,32.5,96,154.1,4.4,94.9,12.4,14.1,413,-22,318.3
1963,Basadingen,BAS,spruce,BASpcab1,1.69,34.48,32.7,97,154.1,4.4,94.9,12.4,14.6,484,-10,318.8
1964,Basadingen,BAS,spruce,BASpcab1,1.59,32.7,32.8,98,154.1,4.4,94.9,12.4,15.5,472,-17,319.4
1965,Basadingen,BAS,spruce,BASpcab1,1.37,28.31,33,99,154.1,4.4,94.9,12.4,13.4,816,52,319.9
1966,Basadingen,BAS,spruce,BASpcab1,1.93,40.08,33.1,100,154.1,4.4,94.9,12.4,14.6,546,1,321.2
1967,Basadingen,BAS,spruce,BASpcab1,3.01,62.97,33.4,101,154.1,4.4,94.9,12.4,14.4,537,0,322
1968,Basadingen,BAS,spruce,BASpcab1,2.49,52.42,33.7,102,154.1,4.4,94.9,12.4,14,618,15,322.9
1969,Basadingen,BAS,spruce,BASpcab1,3,63.69,34,103,154.1,4.4,94.9,12.4,14.3,550,2,324.5
1970,Basadingen,BAS,spruce,BASpcab1,2.58,55.32,34.3,104,154.1,4.4,94.9,12.4,14.2,512,-4,325.5
1971,Basadingen,BAS,spruce,BASpcab1,2.02,43.6,34.5,105,154.1,4.4,94.9,12.4,15.1,425,-24,326.2
1972,Basadingen,BAS,spruce,BASpcab1,1.94,42.01,34.6,106,154.1,4.4,94.9,12.4,13.3,537,4,327.3
1973,Basadingen,BAS,spruce,BASpcab1,2.14,46.73,34.9,107,154.1,4.4,94.9,12.4,14.6,461,-13,329.5
1974,Basadingen,BAS,spruce,BASpcab1,1.89,41.4,35.1,108,154.1,4.4,94.9,12.4,14.1,485,-8,330.1
1975,Basadingen,BAS,spruce,BASpcab1,2.91,64.35,35.3,109,154.1,4.4,94.9,12.4,14.7,641,17,331
1976,Basadingen,BAS,spruce,BASpcab1,2.78,61.97,35.6,110,154.1,4.4,94.9,12.4,14.7,448,-19,332
1977,Basadingen,BAS,spruce,BASpcab1,3.78,84.93,36,111,154.1,4.4,94.9,12.4,13.5,524,1,333.7
1978,Basadingen,BAS,spruce,BASpcab1,4,90.97,36.4,112,154.1,4.4,94.9,12.4,13.3,528,1,335.3
1979,Basadingen,BAS,spruce,BASpcab1,3.08,70.62,36.7,113,154.1,4.4,94.9,12.4,13.9,482,-8,336.7
1980,Basadingen,BAS,spruce,BASpcab1,2.2,50.77,36.9,114,154.1,4.4,94.9,12.4,13.4,501,-1,338.5
1981,Basadingen,BAS,spruce,BASpcab1,2.39,55.63,37.2,115,154.1,4.4,94.9,12.4,14.5,475,-11,339.8
1982,Basadingen,BAS,spruce,BASpcab1,2.52,59.04,37.4,116,154.1,4.4,94.9,12.4,14.8,514,-5,341
1983,Basadingen,BAS,spruce,BASpcab1,2.89,68.08,37.7,117,154.1,4.4,94.9,12.4,15.3,543,-3,342.6
1984,Basadingen,BAS,spruce,BASpcab1,1.84,43.58,37.9,118,154.1,4.4,94.9,12.4,13.3,489,-4,344.3
1985,Basadingen,BAS,spruce,BASpcab1,2.05,48.93,38.1,119,154.1,4.4,94.9,12.4,14.5,496,-9,345.7
1986,Basadingen,BAS,spruce,BASpcab1,2.02,48.35,38.3,120,154.1,4.4,94.9,12.4,14.3,637,17,347
1987,Basadingen,BAS,spruce,BASpcab1,1.79,43.05,38.5,121,154.1,4.4,94.9,12.4,14.4,593,11,348.8
1988,Basadingen,BAS,spruce,BASpcab1,2.39,57.95,38.7,122,154.1,4.4,94.9,12.4,14.9,489,-11,351.3
1989,Basadingen,BAS,spruce,BASpcab1,3.04,74.23,39,123,154.1,4.4,94.9,12.4,14.8,446,-18,352.8
1990,Basadingen,BAS,spruce,BASpcab1,2.37,58.27,39.3,124,154.1,4.4,94.9,12.4,14.7,485,-11,354
1991,Basadingen,BAS,spruce,BASpcab1,3.67,90.93,39.6,125,154.1,4.4,94.9,12.4,14.7,470,-12,355.5
1992,Basadingen,BAS,spruce,BASpcab1,2.95,73.58,39.9,126,154.1,4.4,94.9,12.4,15.7,468,-16,356.3
1993,Basadingen,BAS,spruce,BASpcab1,2.9,72.99,40.2,127,154.1,4.4,94.9,12.4,15.1,559,0,357
1994,Basadingen,BAS,spruce,BASpcab1,4.36,110.6,40.6,128,154.1,4.4,94.9,12.4,15.5,653,18,358.9
1995,Basadingen,BAS,spruce,BASpcab1,3.71,95.16,41,129,154.1,4.4,94.9,12.4,14.6,628,16,360.9
1996,Basadingen,BAS,spruce,BASpcab1,4.08,105.52,41.4,130,154.1,4.4,94.9,12.4,14.1,493,-7,362.7
1997,Basadingen,BAS,spruce,BASpcab1,4.93,129.06,41.9,131,154.1,4.4,94.9,12.4,14.7,460,-14,363.8
1998,Basadingen,BAS,spruce,BASpcab1,2.76,72.92,42.2,132,154.1,4.4,94.9,12.4,15.3,412,-24,365.5
1999,Basadingen,BAS,spruce,BASpcab1,3.12,83.01,42.5,133,154.1,4.4,94.9,12.4,15.5,741,33,367
2000,Basadingen,BAS,spruce,BASpcab1,1.94,51.79,42.7,134,154.1,4.4,94.9,12.4,15.7,593,4,368.5
2001,Basadingen,BAS,spruce,BASpcab1,1.84,49.46,42.9,135,154.1,4.4,94.9,12.4,14.7,612,13,370
2002,Basadingen,BAS,spruce,BASpcab1,2.61,70.39,43.1,136,154.1,4.4,94.9,12.4,15,522,-6,371.5
2003,Basadingen,BAS,spruce,BASpcab1,1.16,31.48,43.3,137,154.1,4.4,94.9,12.4,17.3,362,-39,373
2004,Basadingen,BAS,spruce,BASpcab1,1.98,53.8,43.5,138,154.1,4.4,94.9,12.4,15.1,435,-19,374.6
2005,Basadingen,BAS,spruce,BASpcab1,2.05,55.96,43.7,139,154.1,4.4,94.9,12.4,15.4,523,-4,377.1
2006,Basadingen,BAS,spruce,BASpcab1,1.6,43.83,43.8,140,154.1,4.4,94.9,12.4,15.9,603,7,378.8
