"fg_result","distance","wind","rain"
1,56,NA,FALSE
1,28,6,FALSE
1,29,6,FALSE
1,33,6,FALSE
1,28,6,FALSE
0,51,6,FALSE
1,54,10,FALSE
1,44,10,FALSE
1,30,10,FALSE
1,34,11,FALSE
1,45,11,FALSE
0,41,11,FALSE
1,42,11,FALSE
1,24,12,FALSE
0,55,12,FALSE
1,36,12,FALSE
1,41,1,FALSE
1,53,1,FALSE
1,43,1,FALSE
1,34,1,FALSE
1,26,8,FALSE
1,25,8,FALSE
1,37,NA,FALSE
1,41,NA,FALSE
1,46,NA,FALSE
1,25,16,FALSE
1,40,16,FALSE
1,38,16,FALSE
1,47,16,FALSE
0,50,16,FALSE
1,51,16,FALSE
1,25,16,FALSE
1,52,NA,FALSE
1,42,NA,FALSE
1,42,NA,FALSE
0,40,18,FALSE
1,42,18,FALSE
1,32,18,FALSE
1,50,12,FALSE
1,31,12,FALSE
1,57,12,FALSE
1,33,12,FALSE
1,24,12,FALSE
1,31,NA,FALSE
1,27,NA,FALSE
1,20,NA,FALSE
1,25,7,FALSE
1,38,7,FALSE
1,44,7,FALSE
0,41,11,FALSE
1,37,11,FALSE
1,53,11,FALSE
1,39,11,FALSE
1,21,11,FALSE
1,27,5,FALSE
1,41,12,FALSE
1,23,12,FALSE
1,45,12,FALSE
1,35,NA,FALSE
1,35,NA,FALSE
1,39,NA,FALSE
1,37,NA,FALSE
1,29,2,FALSE
1,28,2,FALSE
1,44,3,FALSE
0,62,3,FALSE
1,46,3,FALSE
1,37,3,FALSE
0,51,3,FALSE
1,51,16,FALSE
1,39,16,FALSE
0,51,NA,FALSE
1,56,NA,FALSE
1,34,NA,FALSE
1,54,NA,FALSE
0,51,4,FALSE
1,44,4,FALSE
0,42,4,FALSE
1,43,16,FALSE
1,27,16,FALSE
1,48,16,FALSE
0,50,16,FALSE
1,56,16,FALSE
1,37,8,FALSE
1,39,8,FALSE
0,45,8,FALSE
1,25,8,FALSE
1,23,6,FALSE
1,23,6,FALSE
1,29,6,FALSE
1,37,6,FALSE
0,38,NA,FALSE
0,28,NA,FALSE
1,45,5,FALSE
1,46,5,FALSE
1,40,9,FALSE
1,54,10,FALSE
1,55,10,FALSE
1,31,10,FALSE
1,50,4,FALSE
1,25,5,FALSE
1,31,5,FALSE
1,56,5,FALSE
1,26,5,FALSE
0,42,5,FALSE
1,52,12,FALSE
0,41,12,FALSE
0,34,12,FALSE
1,28,NA,FALSE
0,52,NA,FALSE
1,55,NA,FALSE
0,52,NA,FALSE
1,46,16,FALSE
1,27,16,FALSE
1,30,16,FALSE
1,41,16,FALSE
1,37,6,FALSE
1,25,6,FALSE
1,47,6,FALSE
1,40,6,FALSE
1,38,6,FALSE
1,52,4,FALSE
1,33,4,FALSE
0,52,4,FALSE
1,31,4,FALSE
1,29,6,FALSE
1,42,6,FALSE
1,41,6,FALSE
1,53,0,FALSE
1,20,0,FALSE
1,36,0,FALSE
1,31,0,FALSE
1,30,0,FALSE
1,35,1,FALSE
1,37,1,FALSE
1,33,1,FALSE
1,20,1,FALSE
