"date","bike_counts","weekEnd","Wind_avg","Precip","Snowfall","Snowdepth","Temp_avg","Temp_max","Temp_min","Wind_fast2m","Wind_fast5s","FOG","Thunder","IcePellets","Smoke"
"2018-06-09",4827,TRUE,6.49,0,0,0,71,79,65,13,18.1,0,0,0,0
"2018-06-10",2453,TRUE,6.04,0.02,0,0,68,72,57,14.1,17,0,0,0,0
"2018-06-11",6645,FALSE,8.05,0.02,0,0,62,69,56,18.1,21.9,0,0,0,0
"2018-06-12",8058,FALSE,10.51,0,0,0,61,69,52,23,28,0,0,0,0
"2018-06-13",5342,FALSE,11.18,0.04,0,0,65,73,62,19.9,25.9,1,0,0,0
"2018-06-14",7457,FALSE,17.22,0,0,0,76,85,68,25.1,35.1,0,0,0,0
"2018-06-15",6286,FALSE,12.3,0,0,0,71,77,61,25.1,32,0,0,0,0
"2018-06-16",4532,TRUE,10.07,0,0,0,71,82,60,21,23.9,0,0,0,0
"2018-06-17",2995,TRUE,8.5,0,0,0,74,87,63,16.1,21,0,0,0,0
"2018-06-18",6028,FALSE,13.87,0.43,0,0,73,80,67,35.1,44.1,1,1,0,0
"2018-06-19",6640,FALSE,10.07,0.02,0,0,80,89,72,23,27.1,0,0,0,1
"2018-06-20",7213,FALSE,8.5,0.01,0,0,73,78,67,18.1,21.9,1,0,0,0
"2018-06-21",6134,FALSE,7.83,0.28,0,0,72,82,66,16.1,21,1,0,0,0
"2018-06-22",6225,FALSE,11.18,0.04,0,0,68,71,63,21,25.1,1,0,0,0
"2018-06-23",2824,TRUE,8.05,0,0,0,65,67,63,16.1,21.9,0,0,0,0
"2018-06-24",4107,TRUE,9.62,0.17,0,0,69,77,65,21,25.1,1,1,0,0
"2018-06-25",6969,FALSE,11.41,0,0,0,75,82,65,25.1,34,0,0,0,0
"2018-06-26",7910,FALSE,11.63,0,0,0,68,73,61,18.1,23.9,0,0,0,0
"2018-06-27",6293,FALSE,12.53,0.02,0,0,69,73,63,21,25.9,1,0,0,0
"2018-06-28",3489,FALSE,11.18,0.93,0,0,72,80,70,23.9,31.1,1,1,0,0
"2018-06-29",5744,FALSE,8.95,0,0,0,78,91,70,18.1,23,0,0,0,0
"2018-06-30",3869,TRUE,6.93,0,0,0,82,88,70,15,18.1,0,0,0,0
"2018-07-01",2678,TRUE,6.71,0,0,0,82,94,73,13,16.1,0,0,0,0
"2018-07-02",5057,FALSE,6.93,0,0,0,82,91,74,16.1,19.9,0,0,0,0
"2018-07-03",4510,FALSE,6.49,0.01,0,0,78,86,74,14.1,17,1,0,0,0
"2018-07-04",2560,FALSE,6.71,0,0,0,79,86,75,14.1,15,1,0,0,0
"2018-07-05",4774,FALSE,12.75,0,0,0,79,86,75,28,33.1,0,0,0,0
"2018-07-06",2997,FALSE,13.2,0.11,0,0,78,84,69,30,36.9,1,1,0,0
"2018-07-07",4505,TRUE,10.07,0,0,0,71,75,61,25.1,34,0,0,0,0
"2018-07-08",4576,TRUE,6.71,0,0,0,69,78,59,13,17,0,0,0,0
"2018-07-09",7012,FALSE,11.41,0,0,0,72,83,64,21.9,25.9,0,0,0,0
"2018-07-10",6906,FALSE,9.62,0,0,0,77,89,67,18.1,21.9,0,0,0,0
"2018-07-11",6693,FALSE,10.07,0,0,0,78,88,70,18.1,23,0,0,0,0
"2018-07-12",6888,FALSE,7.16,0,0,0,74,83,68,13,17,0,0,0,0
"2018-07-13",6048,FALSE,9.84,0,0,0,74,81,65,17,19.9,0,0,0,0
"2018-07-14",4309,TRUE,12.08,0.28,0,0,76,85,67,33.1,40.9,1,1,0,0
"2018-07-15",3056,TRUE,9.17,0.6,0,0,75,82,69,17,21,1,1,0,0
"2018-07-16",6152,FALSE,11.18,0,0,0,78,87,73,23.9,30,1,0,0,1
"2018-07-17",3659,FALSE,10.51,0.68,0,0,76,83,71,25.1,33.1,1,1,0,0
"2018-07-18",6885,FALSE,12.75,0,0,0,76,87,68,23.9,29.1,0,0,0,0
"2018-07-19",7318,FALSE,8.72,0,0,0,75,81,66,14.1,16.1,0,0,0,0
"2018-07-20",6214,FALSE,8.5,0,0,0,74,80,66,16.1,19.9,0,0,0,0
"2018-07-21",3667,TRUE,14.32,0.58,0,0,72,77,66,28,36,1,0,0,0
"2018-07-22",2650,TRUE,19.01,0.93,0,0,73,78,71,33.1,44.1,1,0,0,0
"2018-07-23",2955,FALSE,16.78,0.07,0,0,75,79,73,23.9,33.1,1,0,0,0
